data,quilometragem,abastecimento dias,preço do litro,custo do abastecimento,litros inseridos,distância percorrida,tempo rodado,velocidade média,consumo,consumo,custo / km,Tipo gas,Posto,
16/12/2023,192759,8,"R$ 5,59","R$ 256,58",46,492,19:34:00,26,"10,72",00:25,"R$ 0,50",Anex,comum,
23/12/2023,193242,7,"R$ 5,89","R$ 261,81",44,483,17:53:00,28,"10,87",00:24,"R$ 0,51",Anex,Grid,
30/12/2023,193775,7,"R$ 5,59","R$ 251,25",45,533,19:01:00,29,"11,86",00:25,"R$ 0,50",Ipiranga - Lions,Ipimax,
08/01/2024,194329,9,"R$ 5,59","R$ 241,39",43,554,17:48:00,33,"12,83",00:24,"R$ 0,44",Anex,Grid,
18/01/2024,194831,10,"R$ 5,59","R$ 265,29",47,502,18:17:00,29,"10,58",00:23,"R$ 0,53",Anex,Grid,
28/01/2024,195.281,10,"R$ 5,59","R$ 255,30",46,450,20:05:00,23,"9,85",00:26,"R$ 0,57",Anex,Grid,
06/02/2024,195765,9,"R$ 5,79","R$ 260,72",45,484,18:58:00,27,"10,75",00:25,"R$ 0,52",Anex,Grid,
14/02/2024,196213,8,"R$ 5,89","R$ 239,43",41,448,15:55:00,30,"11,02",00:23,"R$ 0,53",Ipiranga - comum,,
24/02/2024,196724,10,"R$ 5,75","R$ 278,88",49,511,20:04:00,27,"10,54",00:24,"R$ 0,56",Ipimax,,
03/03/2024,197128,8,"R$ 5,70","R$ 216,27",38,404,16:35:00,25,"10,64",00:26,"R$ 0,54",Anex,,
10/03/2024,197609,7,"R$ 5,89","R$ 280,01",48,481,20:31:00,24,"10,12",00:25,"R$ 0,56",,,
20/03/2024,198099,10,"R$ 5,69","R$ 249,96",44,490,18:54:00,27,"11,15",00:25,"R$ 0,53",Anex ,Comum,
28/03/2024,198578,8,"R$ 5,79","R$ 250,13",43,479,18:01:00,27,"11,09",00:25,"R$ 0,51",,,
08/04/2024,199058,11,"R$ 5,79","R$ 262,75",45,480,19:35:00,26,"10,58",00:25,"R$ 0,55",,,
19/04/2024,199467,11,"R$ 5,99","R$ 255,05",43,409,19:33:00,22,"9,61",00:27,"R$ 0,60",Ipiranga - comum,,
29/04/2024,199832,10,"R$ 5,99","R$ 209,89",35,365,16:20:00,24,"10,42",00:27,"R$ 0,58",Ipiranga - comum,,
10/05/2024,200275,11,"R$ 6,29","R$ 265,44",42,443,19:04:00,24,"10,50",00:27,"R$ 0,57",Ipiranga - comum,,
18/05/2024,200715,8,"R$ 5,79","R$ 239,91",41,440,18:25:00,25,"10,62",00:26,"R$ 0,59",ANEX,,
29/05/2024,201139,11,"R$ 5,99","R$ 256,85",43,424,19:38:00,23,"9,89",00:27,"R$ 0,59",,,
08/06/2024,201540,10,"R$ 6,29","R$ 251,66",40,401,19:04:00,23,"10,02",00:28,"R$ 0,60",,,
19/06/2024,201968,11,"R$ 5,99","R$ 268,83",45,428,20:28:00,22,"9,54",00:27,"R$ 0,66",Ipiranga - comum,,
30/06/2024,202444,11,"R$ 5,89","R$ 272,03",46,476,20:06:00,25,"10,31",00:26,"R$ 0,58",Ipiranga - Ipmax,,
12/07/2024,202852,12,"R$ 6,49","R$ 284,85",44,408,19:50:00,22,"9,30",00:27,"R$ 0,63",ANEX GRID,,1
01/08/2024,203278,20,"R$ 6,19","R$ 281,09",45,426,19:56:00,23,"9,38",00:26,"R$ 0,69",,,2
11/08/2024,203739,10,"R$ 6,19","R$ 269,64",44,461,19:42:00,24,"10,58",00:27,"R$ 0,58",,,3
21/08/2024,204184,10,"R$ 6,57","R$ 303,27",46,445,20:13:00,23,"9,64",00:26,"R$ 0,64",,,4
31/08/2024,204542,10,"R$ 6,19","R$ 276,00",45,358,16:10:00,20,"8,03",00:21,"R$ 0,82",grid,,5
13/09/2024,204980,13,"R$ 6,49","R$ 296,66",46,438,21:03:00,22,"9,59",00:27,"R$ 0,65",,,6
23/09/2024,205410,10,"R$ 6,19","R$ 272,73",44,430,18:54:00,24,"9,76",00:25,"R$ 0,66",,,7
02/10/2024,205813,9,"R$ 6,19","R$ 282,08",46,403,19:05:00,22,"8,84",00:25,"R$ 0,70",,,8
17/10/2024,206206,15,"R$ 6,19","R$ 288,39",47,393,22:07:00,19,"8,44",00:28,"R$ 0,73",,,9
30/10/2024,206523,13,"R$ 6,19","R$ 241,60",39,317,17:58:00,19,"8,12",00:27,"R$ 0,76",,,10
11/11/2024,206864,12,"R$ 6,19","R$ 248,53",40,341,19:54:00,18,"8,49",00:29,"R$ 0,73",,,11
23/11/2024,207170,12,"R$ 6,19","R$ 243,08",39,306,18:17:00,18,"7,79",00:27,"R$ 0,79",,,12
03/12/2024,207548,10,"R$ 6,19","R$ 265,18",43,378,20:35:00,19,"8,82",00:28,"R$ 0,70",,,
13/12/2024,207879,10,"R$ 6,19","R$ 251,27",41,331,19:32:00,18,"8,15",00:28,"R$ 0,76",,,
26/12/2024,208267,13,"R$ 6,49","R$ 274,98",42,388,18:49:00,22,"9,16",00:26,"R$ 0,68",,,
10/01/2025,208726,15,"R$ 6,19","R$ 274,28",44,459,17:51:00,28,"10,36",00:24,"R$ 0,63",,,
29/01/2025,209086,19,"R$ 6,29","R$ 251,22",40,360,16:56:00,23,"9,01",00:25,"R$ 0,69",,,
11/02/2025,209389,13,"R$ 6,39","R$ 225,57",35,303,16:19:00,20,"8,58",00:27,"R$ 0,73",,,
25/02/2025,209738,14,"R$ 6,39","R$ 292,98",46,349,19:53:00,19,"7,61",00:26,"R$ 0,84",,,
13/03/2025,210110,16,"R$ 6,39","R$ 280,90",44,372,19:59:00,20,"8,46",00:27,"R$ 0,76",,,
27/03/2025,210474,14,"R$ 6,39","R$ 258,67",40,364,17:26:00,22,"8,99",00:25,"R$ 0,71",,,
07/04/2025,210865,11,"R$ 6,39","R$ 271,00",42,391,18:15:00,23,"9,22",00:25,"R$ 0,69",,,
14/04/2025,211254,7,"R$ 6,59","R$ 266,30",40,389,18:35:00,22,"9,63",00:27,"R$ 0,66",,,
27/04/2025,211623,13,"R$ 5,99","R$ 261,52",44,369,20:26:00,19,"8,45",00:28,"R$ 0,78",,,
